prompt_id,L1,speaker,alpha,wer
arctic_a0001,Chinese,BWC,0.0,0.3333333333333333
arctic_a0001,Chinese,BWC,0.25,0.2222222222222222
arctic_a0001,Chinese,BWC,0.5,0.3333333333333333
arctic_a0001,Chinese,BWC,0.75,0.3333333333333333
arctic_a0001,Chinese,BWC,1.0,0.1111111111111111
arctic_a0001,Spanish,EBVS,0.0,0.0
arctic_a0001,Spanish,EBVS,0.25,0.125
arctic_a0001,Spanish,EBVS,0.5,0.125
arctic_a0001,Spanish,EBVS,0.75,0.125
arctic_a0001,Spanish,EBVS,1.0,0.0
arctic_a0001,Korean,HJK,0.0,0.125
arctic_a0001,Korean,HJK,0.25,0.0
arctic_a0001,Korean,HJK,0.5,0.0
arctic_a0001,Korean,HJK,0.75,0.125
arctic_a0001,Korean,HJK,1.0,0.0
arctic_a0001,Vietnamese,HQTV,0.0,0.0
arctic_a0001,Vietnamese,HQTV,0.25,0.125
arctic_a0001,Vietnamese,HQTV,0.5,0.25
arctic_a0001,Vietnamese,HQTV,0.75,0.125
arctic_a0001,Vietnamese,HQTV,1.0,0.0
arctic_a0001,Hindi,SVBI,0.0,0.25
arctic_a0001,Hindi,SVBI,0.25,0.0
arctic_a0001,Hindi,SVBI,0.5,0.125
arctic_a0001,Hindi,SVBI,0.75,0.0
arctic_a0001,Hindi,SVBI,1.0,0.0
arctic_a0001,Arabic,ZHAA,0.0,0.0
arctic_a0001,Arabic,ZHAA,0.25,0.0
arctic_a0001,Arabic,ZHAA,0.5,0.0
arctic_a0001,Arabic,ZHAA,0.75,0.0
arctic_a0001,Arabic,ZHAA,1.0,0.0
arctic_a0033,Chinese,BWC,0.0,0.0
arctic_a0033,Chinese,BWC,0.25,0.18181818181818182
arctic_a0033,Chinese,BWC,0.5,0.5454545454545454
arctic_a0033,Chinese,BWC,0.75,0.0
arctic_a0033,Chinese,BWC,1.0,0.0
arctic_a0033,Spanish,EBVS,0.0,0.2727272727272727
arctic_a0033,Spanish,EBVS,0.25,0.45454545454545453
arctic_a0033,Spanish,EBVS,0.5,0.5454545454545454
arctic_a0033,Spanish,EBVS,0.75,0.09090909090909091
arctic_a0033,Spanish,EBVS,1.0,0.0
arctic_a0033,Korean,HJK,0.0,0.0
arctic_a0033,Korean,HJK,0.25,0.0
arctic_a0033,Korean,HJK,0.5,0.09090909090909091
arctic_a0033,Korean,HJK,0.75,0.09090909090909091
arctic_a0033,Korean,HJK,1.0,0.0
arctic_a0033,Vietnamese,HQTV,0.0,0.09090909090909091
arctic_a0033,Vietnamese,HQTV,0.25,0.2727272727272727
arctic_a0033,Vietnamese,HQTV,0.5,0.36363636363636365
arctic_a0033,Vietnamese,HQTV,0.75,0.0
arctic_a0033,Vietnamese,HQTV,1.0,0.0
arctic_a0033,Hindi,SVBI,0.0,0.0
arctic_a0033,Hindi,SVBI,0.25,0.0
arctic_a0033,Hindi,SVBI,0.5,0.09090909090909091
arctic_a0033,Hindi,SVBI,0.75,0.09090909090909091
arctic_a0033,Hindi,SVBI,1.0,0.0
arctic_a0033,Arabic,ZHAA,0.0,0.0
arctic_a0033,Arabic,ZHAA,0.25,0.09090909090909091
arctic_a0033,Arabic,ZHAA,0.5,0.36363636363636365
arctic_a0033,Arabic,ZHAA,0.75,0.0
arctic_a0033,Arabic,ZHAA,1.0,0.0
arctic_a0041,Chinese,BWC,0.0,0.2222222222222222
arctic_a0041,Chinese,BWC,0.25,0.3333333333333333
arctic_a0041,Chinese,BWC,0.5,0.4444444444444444
arctic_a0041,Chinese,BWC,0.75,0.6666666666666666
arctic_a0041,Chinese,BWC,1.0,0.2222222222222222
arctic_a0041,Spanish,EBVS,0.0,0.25
arctic_a0041,Spanish,EBVS,0.25,0.5
arctic_a0041,Spanish,EBVS,0.5,0.625
arctic_a0041,Spanish,EBVS,0.75,0.25
arctic_a0041,Spanish,EBVS,1.0,0.0
arctic_a0041,Korean,HJK,0.0,0.0
arctic_a0041,Korean,HJK,0.25,0.25
arctic_a0041,Korean,HJK,0.5,0.5
arctic_a0041,Korean,HJK,0.75,0.5
arctic_a0041,Korean,HJK,1.0,0.0
arctic_a0041,Vietnamese,HQTV,0.0,0.375
arctic_a0041,Vietnamese,HQTV,0.25,0.375
arctic_a0041,Vietnamese,HQTV,0.5,0.375
arctic_a0041,Vietnamese,HQTV,0.75,0.5
arctic_a0041,Vietnamese,HQTV,1.0,0.0
arctic_a0041,Hindi,SVBI,0.0,0.0
arctic_a0041,Hindi,SVBI,0.25,0.125
arctic_a0041,Hindi,SVBI,0.5,0.125
arctic_a0041,Hindi,SVBI,0.75,0.125
arctic_a0041,Hindi,SVBI,1.0,0.0
arctic_a0041,Arabic,ZHAA,0.0,0.0
arctic_a0041,Arabic,ZHAA,0.25,0.25
arctic_a0041,Arabic,ZHAA,0.5,0.5
arctic_a0041,Arabic,ZHAA,0.75,0.375
arctic_a0041,Arabic,ZHAA,1.0,0.0
arctic_a0050,Chinese,BWC,0.0,0.6
arctic_a0050,Chinese,BWC,0.25,0.5
arctic_a0050,Chinese,BWC,0.5,0.5
arctic_a0050,Chinese,BWC,0.75,0.2
arctic_a0050,Chinese,BWC,1.0,0.0
arctic_a0050,Spanish,EBVS,0.0,0.0
arctic_a0050,Spanish,EBVS,0.25,0.0
arctic_a0050,Spanish,EBVS,0.5,0.0
arctic_a0050,Spanish,EBVS,0.75,0.2
arctic_a0050,Spanish,EBVS,1.0,0.0
arctic_a0050,Korean,HJK,0.0,0.1
arctic_a0050,Korean,HJK,0.25,0.2
arctic_a0050,Korean,HJK,0.5,0.0
arctic_a0050,Korean,HJK,0.75,0.0
arctic_a0050,Korean,HJK,1.0,0.0
arctic_a0050,Vietnamese,HQTV,0.0,0.3
arctic_a0050,Vietnamese,HQTV,0.25,0.3
arctic_a0050,Vietnamese,HQTV,0.5,0.6
arctic_a0050,Vietnamese,HQTV,0.75,0.1
arctic_a0050,Vietnamese,HQTV,1.0,0.0
arctic_a0050,Hindi,SVBI,0.0,0.0
arctic_a0050,Hindi,SVBI,0.25,0.0
arctic_a0050,Hindi,SVBI,0.5,0.0
arctic_a0050,Hindi,SVBI,0.75,0.0
arctic_a0050,Hindi,SVBI,1.0,0.0
arctic_a0050,Arabic,ZHAA,0.0,0.0
arctic_a0050,Arabic,ZHAA,0.25,0.2
arctic_a0050,Arabic,ZHAA,0.5,0.3
arctic_a0050,Arabic,ZHAA,0.75,0.2
arctic_a0050,Arabic,ZHAA,1.0,0.0
arctic_a0053,Chinese,BWC,0.0,0.25
arctic_a0053,Chinese,BWC,0.25,0.25
arctic_a0053,Chinese,BWC,0.5,0.5
arctic_a0053,Chinese,BWC,0.75,0.25
arctic_a0053,Chinese,BWC,1.0,0.0
arctic_a0053,Spanish,EBVS,0.0,0.0
arctic_a0053,Spanish,EBVS,0.25,0.125
arctic_a0053,Spanish,EBVS,0.5,0.25
arctic_a0053,Spanish,EBVS,0.75,0.125
arctic_a0053,Spanish,EBVS,1.0,0.0
arctic_a0053,Korean,HJK,0.0,0.0
arctic_a0053,Korean,HJK,0.25,0.125
arctic_a0053,Korean,HJK,0.5,0.125
arctic_a0053,Korean,HJK,0.75,0.25
arctic_a0053,Korean,HJK,1.0,0.0
arctic_a0053,Vietnamese,HQTV,0.0,0.0
arctic_a0053,Vietnamese,HQTV,0.25,0.25
arctic_a0053,Vietnamese,HQTV,0.5,0.25
arctic_a0053,Vietnamese,HQTV,0.75,0.25
arctic_a0053,Vietnamese,HQTV,1.0,0.0
arctic_a0053,Hindi,SVBI,0.0,0.0
arctic_a0053,Hindi,SVBI,0.25,0.125
arctic_a0053,Hindi,SVBI,0.5,0.25
arctic_a0053,Hindi,SVBI,0.75,0.125
arctic_a0053,Hindi,SVBI,1.0,0.0
arctic_a0053,Arabic,ZHAA,0.0,0.0
arctic_a0053,Arabic,ZHAA,0.25,0.125
arctic_a0053,Arabic,ZHAA,0.5,0.125
arctic_a0053,Arabic,ZHAA,0.75,0.125
arctic_a0053,Arabic,ZHAA,1.0,0.0
arctic_a0066,Chinese,BWC,0.0,0.2857142857142857
arctic_a0066,Chinese,BWC,0.25,0.2857142857142857
arctic_a0066,Chinese,BWC,0.5,0.14285714285714285
arctic_a0066,Chinese,BWC,0.75,0.0
arctic_a0066,Chinese,BWC,1.0,0.0
arctic_a0066,Spanish,EBVS,0.0,0.0
arctic_a0066,Spanish,EBVS,0.25,0.14285714285714285
arctic_a0066,Spanish,EBVS,0.5,0.42857142857142855
arctic_a0066,Spanish,EBVS,0.75,0.2857142857142857
arctic_a0066,Spanish,EBVS,1.0,0.0
arctic_a0066,Korean,HJK,0.0,0.0
arctic_a0066,Korean,HJK,0.25,0.0
arctic_a0066,Korean,HJK,0.5,0.14285714285714285
arctic_a0066,Korean,HJK,0.75,0.14285714285714285
arctic_a0066,Korean,HJK,1.0,0.0
arctic_a0066,Vietnamese,HQTV,0.0,0.14285714285714285
arctic_a0066,Vietnamese,HQTV,0.25,0.2857142857142857
arctic_a0066,Vietnamese,HQTV,0.5,0.42857142857142855
arctic_a0066,Vietnamese,HQTV,0.75,0.2857142857142857
arctic_a0066,Vietnamese,HQTV,1.0,0.0
arctic_a0066,Hindi,SVBI,0.0,0.0
arctic_a0066,Hindi,SVBI,0.25,0.0
arctic_a0066,Hindi,SVBI,0.5,0.0
arctic_a0066,Hindi,SVBI,0.75,0.0
arctic_a0066,Hindi,SVBI,1.0,0.0
arctic_a0066,Arabic,ZHAA,0.0,0.0
arctic_a0066,Arabic,ZHAA,0.25,0.14285714285714285
arctic_a0066,Arabic,ZHAA,0.5,0.7142857142857143
arctic_a0066,Arabic,ZHAA,0.75,0.14285714285714285
arctic_a0066,Arabic,ZHAA,1.0,0.0
arctic_a0075,Chinese,BWC,0.0,0.0
arctic_a0075,Chinese,BWC,0.25,0.0
arctic_a0075,Chinese,BWC,0.5,0.375
arctic_a0075,Chinese,BWC,0.75,0.0
arctic_a0075,Chinese,BWC,1.0,0.125
arctic_a0075,Spanish,EBVS,0.0,0.0
arctic_a0075,Spanish,EBVS,0.25,0.0
arctic_a0075,Spanish,EBVS,0.5,0.25
arctic_a0075,Spanish,EBVS,0.75,0.125
arctic_a0075,Spanish,EBVS,1.0,0.125
arctic_a0075,Korean,HJK,0.0,0.0
arctic_a0075,Korean,HJK,0.25,0.0
arctic_a0075,Korean,HJK,0.5,0.125
arctic_a0075,Korean,HJK,0.75,0.0
arctic_a0075,Korean,HJK,1.0,0.125
arctic_a0075,Vietnamese,HQTV,0.0,0.125
arctic_a0075,Vietnamese,HQTV,0.25,0.125
arctic_a0075,Vietnamese,HQTV,0.5,0.0
arctic_a0075,Vietnamese,HQTV,0.75,0.0
arctic_a0075,Vietnamese,HQTV,1.0,0.125
arctic_a0075,Hindi,SVBI,0.0,0.0
arctic_a0075,Hindi,SVBI,0.25,0.0
arctic_a0075,Hindi,SVBI,0.5,0.0
arctic_a0075,Hindi,SVBI,0.75,0.0
arctic_a0075,Hindi,SVBI,1.0,0.125
arctic_a0075,Arabic,ZHAA,0.0,0.125
arctic_a0075,Arabic,ZHAA,0.25,0.0
arctic_a0075,Arabic,ZHAA,0.5,0.375
arctic_a0075,Arabic,ZHAA,0.75,0.0
arctic_a0075,Arabic,ZHAA,1.0,0.125
arctic_a0087,Chinese,BWC,0.0,0.08333333333333333
arctic_a0087,Chinese,BWC,0.25,0.25
arctic_a0087,Chinese,BWC,0.5,0.4166666666666667
arctic_a0087,Chinese,BWC,0.75,0.08333333333333333
arctic_a0087,Chinese,BWC,1.0,0.08333333333333333
arctic_a0087,Spanish,EBVS,0.0,0.0
arctic_a0087,Spanish,EBVS,0.25,0.16666666666666666
arctic_a0087,Spanish,EBVS,0.5,0.25
arctic_a0087,Spanish,EBVS,0.75,0.08333333333333333
