prompt_id,L1,speaker,condition,ref,hyp,wer
arctic_a0037,Arabic,ZHAA,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+noise,I was the only one who remained sitting., I was I was,0.75
arctic_a0037,Arabic,ZHAA,nat+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_800,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+noise,I was the only one who remained sitting., I was I was,0.75
arctic_a0037,Chinese,BWC,nat+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+zero_800,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+noise,I was the only one who remained sitting., I was I was,0.75
arctic_a0037,Hindi,SVBI,nat+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+zero_800,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+noise,I was the only one who remained sitting., I was I was,0.75
arctic_a0037,Korean,HJK,nat+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Korean,HJK,nat+zero_800,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+noise,I was the only one who remained sitting., I was I was,0.75
arctic_a0037,Spanish,EBVS,nat+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Spanish,EBVS,nat+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
