speaker,utterance_id,l1,speaker_type,bridge_split,text,whisper_pred,reference_norm,prediction_norm,wer,mer,per
LXC,arctic_b0413,Chinese,l2,train,He may desire to escape pain or to enjoy pleasure, He may desire to escape pain or to enjoy pleasure.,he may desire to escape pain or to enjoy pleasure,he may desire to escape pain or to enjoy pleasure,0.0,0.0,0.0
CLB,arctic_b0413,English,native,train,He may desire to escape pain or to enjoy pleasure, He may desire to escape pain or to enjoy pleasure.,he may desire to escape pain or to enjoy pleasure,he may desire to escape pain or to enjoy pleasure,0.0,0.0,0.0
RMS,arctic_b0413,English,native,train,He may desire to escape pain or to enjoy pleasure, He may desire to escape pain or to enjoy pleasure.,he may desire to escape pain or to enjoy pleasure,he may desire to escape pain or to enjoy pleasure,0.0,0.0,0.0
SLT,arctic_b0413,English,native,train,He may desire to escape pain or to enjoy pleasure, He may desire to escape pain or to enjoy pleasure.,he may desire to escape pain or to enjoy pleasure,he may desire to escape pain or to enjoy pleasure,0.0,0.0,0.0
TXHC,arctic_a0327,Chinese,l2,train,They were less stooped than we less springy in their movements," They were less stupid than we, less swingy in their movements.",they were less stooped than we less springy in their movements,they were less stupid than we less swingy in their movements,0.18181818181818182,0.18181818181818182,0.15
SLT,arctic_a0327,English,native,train,They were less stooped than we less springy in their movements," They were less stooped than we, less springy in their movements.",they were less stooped than we less springy in their movements,they were less stooped than we less springy in their movements,0.0,0.0,0.0
RMS,arctic_a0327,English,native,train,They were less stooped than we less springy in their movements," They were less stooped than we, less springy in their movements.",they were less stooped than we less springy in their movements,they were less stooped than we less springy in their movements,0.0,0.0,0.0
CLB,arctic_a0327,English,native,train,They were less stooped than we less springy in their movements," They were less stooped than we, less springy in their movements.",they were less stooped than we less springy in their movements,they were less stooped than we less springy in their movements,0.0,0.0,0.0
TXHC,arctic_b0447,Chinese,l2,train,O'Brien emitted a shriek that sank swiftly to a gurgling sob, A Brian emitted a stroke that sank swiftly into a gurgling stop.,obrien emitted a shriek that sank swiftly to a gurgling sob,a brian emitted a stroke that sank swiftly into a gurgling stop,0.45454545454545453,0.4166666666666667,0.20454545454545456
SLT,arctic_b0447,English,native,train,O'Brien emitted a shriek that sank swiftly to a gurgling sob, O'Brien emitted a shriek that sank swiftly to a gurgling sob.,obrien emitted a shriek that sank swiftly to a gurgling sob,obrien emitted a shriek that sank swiftly to a gurgling sob,0.0,0.0,0.0
CLB,arctic_b0447,English,native,train,O'Brien emitted a shriek that sank swiftly to a gurgling sob, O'Brien emitted a shriek that sank swiftly to a gurgling sob.,obrien emitted a shriek that sank swiftly to a gurgling sob,obrien emitted a shriek that sank swiftly to a gurgling sob,0.0,0.0,0.0
RMS,arctic_b0447,English,native,train,O'Brien emitted a shriek that sank swiftly to a gurgling sob, O'Brien emitted a shriek that sank swiftly to a gurgling sob.,obrien emitted a shriek that sank swiftly to a gurgling sob,obrien emitted a shriek that sank swiftly to a gurgling sob,0.0,0.0,0.0
SKA,arctic_a0122,Arabic,l2,train,Two years ago I gave up civilization for this," Two years ago, I gave up civilization for zest.",two years ago i gave up civilization for this,two years ago i gave up civilization for zest,0.1111111111111111,0.1111111111111111,0.09375
RMS,arctic_a0122,English,native,train,Two years ago I gave up civilization for this," Two years ago, I gave up civilization for this.",two years ago i gave up civilization for this,two years ago i gave up civilization for this,0.0,0.0,0.0
SLT,arctic_a0122,English,native,train,Two years ago I gave up civilization for this, Two years ago I gave up civilization for this.,two years ago i gave up civilization for this,two years ago i gave up civilization for this,0.0,0.0,0.0
CLB,arctic_a0122,English,native,train,Two years ago I gave up civilization for this," Two years ago, I gave up civilization for this.",two years ago i gave up civilization for this,two years ago i gave up civilization for this,0.0,0.0,0.0
NCC,arctic_b0043,Chinese,l2,train,It won't be for sale, It won't be for self.,it wont be for sale,it wont be for self,0.2,0.2,0.14285714285714285
SLT,arctic_b0043,English,native,train,It won't be for sale, It won't be for sale.,it wont be for sale,it wont be for sale,0.0,0.0,0.0
RMS,arctic_b0043,English,native,train,It won't be for sale, It won't be for sale.,it wont be for sale,it wont be for sale,0.0,0.0,0.0
CLB,arctic_b0043,English,native,train,It won't be for sale, It won't be for sale.,it wont be for sale,it wont be for sale,0.0,0.0,0.0
YDCK,arctic_b0153,Korean,l2,train,He was a pariah a wanderer without a friend or a home," He was a peria, a wanderer without a friend or a home.",he was a pariah a wanderer without a friend or a home,he was a peria a wanderer without a friend or a home,0.08333333333333333,0.08333333333333333,0.08823529411764706
RMS,arctic_b0153,English,native,train,He was a pariah a wanderer without a friend or a home," He was a pariah, a wanderer, without a friend or a home.",he was a pariah a wanderer without a friend or a home,he was a pariah a wanderer without a friend or a home,0.0,0.0,0.0
