prompt_id,L1,speaker,alpha,wer
arctic_b0193,Chinese,BWC,0.0,0.2
arctic_b0193,Chinese,BWC,0.25,0.4
arctic_b0193,Chinese,BWC,0.5,0.4
arctic_b0193,Chinese,BWC,0.75,0.4
arctic_b0193,Chinese,BWC,0.9,0.2
arctic_b0193,Chinese,BWC,1.0,0.2
arctic_b0193,Spanish,EBVS,0.0,0.2
arctic_b0193,Spanish,EBVS,0.25,0.6
arctic_b0193,Spanish,EBVS,0.5,0.6
arctic_b0193,Spanish,EBVS,0.75,0.2
arctic_b0193,Spanish,EBVS,0.9,0.2
arctic_b0193,Spanish,EBVS,1.0,0.0
arctic_b0193,Korean,HJK,0.0,0.0
arctic_b0193,Korean,HJK,0.25,0.2
arctic_b0193,Korean,HJK,0.5,0.4
arctic_b0193,Korean,HJK,0.75,0.2
arctic_b0193,Korean,HJK,0.9,0.2
arctic_b0193,Korean,HJK,1.0,0.2
arctic_b0193,Vietnamese,HQTV,0.0,0.4
arctic_b0193,Vietnamese,HQTV,0.25,0.0
arctic_b0193,Vietnamese,HQTV,0.5,0.4
arctic_b0193,Vietnamese,HQTV,0.75,0.2
arctic_b0193,Vietnamese,HQTV,0.9,0.2
arctic_b0193,Vietnamese,HQTV,1.0,0.2
arctic_b0193,Hindi,SVBI,0.0,0.2
arctic_b0193,Hindi,SVBI,0.25,0.2
arctic_b0193,Hindi,SVBI,0.5,0.4
arctic_b0193,Hindi,SVBI,0.75,0.2
arctic_b0193,Hindi,SVBI,0.9,0.2
arctic_b0193,Hindi,SVBI,1.0,0.2
arctic_b0193,Arabic,ZHAA,0.0,0.0
arctic_b0193,Arabic,ZHAA,0.25,0.6
arctic_b0193,Arabic,ZHAA,0.5,0.4
arctic_b0193,Arabic,ZHAA,0.75,0.2
arctic_b0193,Arabic,ZHAA,0.9,0.2
arctic_b0193,Arabic,ZHAA,1.0,0.2
arctic_b0308,Chinese,BWC,0.0,0.0
arctic_b0308,Chinese,BWC,0.25,0.0
arctic_b0308,Chinese,BWC,0.5,0.0
arctic_b0308,Chinese,BWC,0.75,0.0
arctic_b0308,Chinese,BWC,0.9,0.0
arctic_b0308,Chinese,BWC,1.0,0.0
arctic_b0308,Spanish,EBVS,0.0,0.0
arctic_b0308,Spanish,EBVS,0.25,0.0
arctic_b0308,Spanish,EBVS,0.5,0.0
arctic_b0308,Spanish,EBVS,0.75,0.0
arctic_b0308,Spanish,EBVS,0.9,0.0
arctic_b0308,Spanish,EBVS,1.0,0.0
