prompt_id,L1,speaker,alpha,wer,method
arctic_a0001,Chinese,BWC,0.0,0.3333333333333333,position_based
arctic_a0001,Chinese,BWC,0.25,0.2222222222222222,position_based
arctic_a0001,Chinese,BWC,0.5,0.3333333333333333,position_based
arctic_a0001,Chinese,BWC,0.75,0.3333333333333333,position_based
arctic_a0001,Chinese,BWC,1.0,0.1111111111111111,position_based
arctic_a0001,Spanish,EBVS,0.0,0.0,position_based
arctic_a0001,Spanish,EBVS,0.25,0.125,position_based
arctic_a0001,Spanish,EBVS,0.5,0.125,position_based
arctic_a0001,Spanish,EBVS,0.75,0.125,position_based
arctic_a0001,Spanish,EBVS,1.0,0.0,position_based
arctic_a0001,Korean,HJK,0.0,0.125,position_based
arctic_a0001,Korean,HJK,0.25,0.0,position_based
arctic_a0001,Korean,HJK,0.5,0.0,position_based
arctic_a0001,Korean,HJK,0.75,0.125,position_based
arctic_a0001,Korean,HJK,1.0,0.0,position_based
arctic_a0001,Vietnamese,HQTV,0.0,0.0,position_based
arctic_a0001,Vietnamese,HQTV,0.25,0.125,position_based
arctic_a0001,Vietnamese,HQTV,0.5,0.25,position_based
arctic_a0001,Vietnamese,HQTV,0.75,0.125,position_based
arctic_a0001,Vietnamese,HQTV,1.0,0.0,position_based
arctic_a0001,Hindi,SVBI,0.0,0.25,position_based
arctic_a0001,Hindi,SVBI,0.25,0.0,position_based
arctic_a0001,Hindi,SVBI,0.5,0.125,position_based
arctic_a0001,Hindi,SVBI,0.75,0.0,position_based
arctic_a0001,Hindi,SVBI,1.0,0.0,position_based
arctic_a0001,Arabic,ZHAA,0.0,0.0,position_based
arctic_a0001,Arabic,ZHAA,0.25,0.0,position_based
arctic_a0001,Arabic,ZHAA,0.5,0.0,position_based
arctic_a0001,Arabic,ZHAA,0.75,0.0,position_based
arctic_a0001,Arabic,ZHAA,1.0,0.0,position_based
arctic_a0033,Chinese,BWC,0.0,0.0,position_based
arctic_a0033,Chinese,BWC,0.25,0.1818181818181818,position_based
arctic_a0033,Chinese,BWC,0.5,0.5454545454545454,position_based
arctic_a0033,Chinese,BWC,0.75,0.0,position_based
arctic_a0033,Chinese,BWC,1.0,0.0,position_based
arctic_a0033,Spanish,EBVS,0.0,0.2727272727272727,position_based
arctic_a0033,Spanish,EBVS,0.25,0.4545454545454545,position_based
arctic_a0033,Spanish,EBVS,0.5,0.5454545454545454,position_based
arctic_a0033,Spanish,EBVS,0.75,0.0909090909090909,position_based
arctic_a0033,Spanish,EBVS,1.0,0.0,position_based
arctic_a0033,Korean,HJK,0.0,0.0,position_based
arctic_a0033,Korean,HJK,0.25,0.0,position_based
arctic_a0033,Korean,HJK,0.5,0.0909090909090909,position_based
arctic_a0033,Korean,HJK,0.75,0.0909090909090909,position_based
arctic_a0033,Korean,HJK,1.0,0.0,position_based
arctic_a0033,Vietnamese,HQTV,0.0,0.0909090909090909,position_based
arctic_a0033,Vietnamese,HQTV,0.25,0.2727272727272727,position_based
arctic_a0033,Vietnamese,HQTV,0.5,0.3636363636363636,position_based
arctic_a0033,Vietnamese,HQTV,0.75,0.0,position_based
arctic_a0033,Vietnamese,HQTV,1.0,0.0,position_based
arctic_a0033,Hindi,SVBI,0.0,0.0,position_based
arctic_a0033,Hindi,SVBI,0.25,0.0,position_based
arctic_a0033,Hindi,SVBI,0.5,0.0909090909090909,position_based
arctic_a0033,Hindi,SVBI,0.75,0.0909090909090909,position_based
arctic_a0033,Hindi,SVBI,1.0,0.0,position_based
arctic_a0033,Arabic,ZHAA,0.0,0.0,position_based
arctic_a0033,Arabic,ZHAA,0.25,0.0909090909090909,position_based
arctic_a0033,Arabic,ZHAA,0.5,0.3636363636363636,position_based
arctic_a0033,Arabic,ZHAA,0.75,0.0,position_based
arctic_a0033,Arabic,ZHAA,1.0,0.0,position_based
arctic_a0041,Chinese,BWC,0.0,0.2222222222222222,position_based
arctic_a0041,Chinese,BWC,0.25,0.3333333333333333,position_based
arctic_a0041,Chinese,BWC,0.5,0.4444444444444444,position_based
arctic_a0041,Chinese,BWC,0.75,0.6666666666666666,position_based
arctic_a0041,Chinese,BWC,1.0,0.2222222222222222,position_based
arctic_a0041,Spanish,EBVS,0.0,0.25,position_based
arctic_a0041,Spanish,EBVS,0.25,0.5,position_based
arctic_a0041,Spanish,EBVS,0.5,0.625,position_based
arctic_a0041,Spanish,EBVS,0.75,0.25,position_based
arctic_a0041,Spanish,EBVS,1.0,0.0,position_based
arctic_a0041,Korean,HJK,0.0,0.0,position_based
arctic_a0041,Korean,HJK,0.25,0.25,position_based
arctic_a0041,Korean,HJK,0.5,0.5,position_based
arctic_a0041,Korean,HJK,0.75,0.5,position_based
arctic_a0041,Korean,HJK,1.0,0.0,position_based
arctic_a0041,Vietnamese,HQTV,0.0,0.375,position_based
arctic_a0041,Vietnamese,HQTV,0.25,0.375,position_based
arctic_a0041,Vietnamese,HQTV,0.5,0.375,position_based
arctic_a0041,Vietnamese,HQTV,0.75,0.5,position_based
arctic_a0041,Vietnamese,HQTV,1.0,0.0,position_based
arctic_a0041,Hindi,SVBI,0.0,0.0,position_based
arctic_a0041,Hindi,SVBI,0.25,0.125,position_based
arctic_a0041,Hindi,SVBI,0.5,0.125,position_based
arctic_a0041,Hindi,SVBI,0.75,0.125,position_based
arctic_a0041,Hindi,SVBI,1.0,0.0,position_based
arctic_a0041,Arabic,ZHAA,0.0,0.0,position_based
arctic_a0041,Arabic,ZHAA,0.25,0.25,position_based
arctic_a0041,Arabic,ZHAA,0.5,0.5,position_based
arctic_a0041,Arabic,ZHAA,0.75,0.375,position_based
arctic_a0041,Arabic,ZHAA,1.0,0.0,position_based
arctic_a0050,Chinese,BWC,0.0,0.6,position_based
arctic_a0050,Chinese,BWC,0.25,0.5,position_based
arctic_a0050,Chinese,BWC,0.5,0.5,position_based
