prompt_id,L1,speaker,alpha,wer
arctic_b0193,Chinese,BWC,0.0,0.4
arctic_b0193,Chinese,BWC,0.25,0.2
arctic_b0193,Chinese,BWC,0.5,0.2
arctic_b0193,Chinese,BWC,0.75,0.2
arctic_b0193,Chinese,BWC,0.9,0.2
arctic_b0193,Chinese,BWC,1.0,0.2
arctic_b0193,Spanish,EBVS,0.0,1.0
arctic_b0193,Spanish,EBVS,0.25,0.8
arctic_b0193,Spanish,EBVS,0.5,0.2
arctic_b0193,Spanish,EBVS,0.75,0.2
arctic_b0193,Spanish,EBVS,0.9,0.2
arctic_b0193,Spanish,EBVS,1.0,0.2
arctic_b0193,Korean,HJK,0.0,0.4
arctic_b0193,Korean,HJK,0.25,0.2
arctic_b0193,Korean,HJK,0.5,0.2
arctic_b0193,Korean,HJK,0.75,0.2
arctic_b0193,Korean,HJK,0.9,0.2
arctic_b0193,Korean,HJK,1.0,0.2
arctic_b0193,Vietnamese,HQTV,0.0,0.4
arctic_b0193,Vietnamese,HQTV,0.25,0.6
arctic_b0193,Vietnamese,HQTV,0.5,0.4
arctic_b0193,Vietnamese,HQTV,0.75,0.2
arctic_b0193,Vietnamese,HQTV,0.9,0.2
arctic_b0193,Vietnamese,HQTV,1.0,0.2
arctic_b0193,Hindi,SVBI,0.0,0.4
arctic_b0193,Hindi,SVBI,0.25,0.2
arctic_b0193,Hindi,SVBI,0.5,0.2
arctic_b0193,Hindi,SVBI,0.75,0.2
arctic_b0193,Hindi,SVBI,0.9,0.2
arctic_b0193,Hindi,SVBI,1.0,0.2
arctic_b0193,Arabic,ZHAA,0.0,0.2
arctic_b0193,Arabic,ZHAA,0.25,0.2
arctic_b0193,Arabic,ZHAA,0.5,0.2
arctic_b0193,Arabic,ZHAA,0.75,0.2
arctic_b0193,Arabic,ZHAA,0.9,0.2
arctic_b0193,Arabic,ZHAA,1.0,0.2
arctic_b0308,Chinese,BWC,0.0,0.0
arctic_b0308,Chinese,BWC,0.25,0.0
arctic_b0308,Chinese,BWC,0.5,0.0
arctic_b0308,Chinese,BWC,0.75,0.0
arctic_b0308,Chinese,BWC,0.9,0.0
arctic_b0308,Chinese,BWC,1.0,0.0
arctic_b0308,Spanish,EBVS,0.0,0.0
arctic_b0308,Spanish,EBVS,0.25,0.0
arctic_b0308,Spanish,EBVS,0.5,0.0
arctic_b0308,Spanish,EBVS,0.75,0.0
arctic_b0308,Spanish,EBVS,0.9,0.0
arctic_b0308,Spanish,EBVS,1.0,0.0
arctic_b0308,Korean,HJK,0.0,0.0
arctic_b0308,Korean,HJK,0.25,0.0
arctic_b0308,Korean,HJK,0.5,0.0
arctic_b0308,Korean,HJK,0.75,0.0
arctic_b0308,Korean,HJK,0.9,0.0
arctic_b0308,Korean,HJK,1.0,0.0
arctic_b0308,Vietnamese,HQTV,0.0,0.2
arctic_b0308,Vietnamese,HQTV,0.25,0.2
arctic_b0308,Vietnamese,HQTV,0.5,0.0
arctic_b0308,Vietnamese,HQTV,0.75,0.0
arctic_b0308,Vietnamese,HQTV,0.9,0.0
arctic_b0308,Vietnamese,HQTV,1.0,0.0
arctic_b0308,Hindi,SVBI,0.0,0.0
arctic_b0308,Hindi,SVBI,0.25,0.0
arctic_b0308,Hindi,SVBI,0.5,0.0
arctic_b0308,Hindi,SVBI,0.75,0.0
arctic_b0308,Hindi,SVBI,0.9,0.0
arctic_b0308,Hindi,SVBI,1.0,0.0
arctic_b0308,Arabic,ZHAA,0.0,0.0
arctic_b0308,Arabic,ZHAA,0.25,0.0
arctic_b0308,Arabic,ZHAA,0.5,0.0
arctic_b0308,Arabic,ZHAA,0.75,0.0
arctic_b0308,Arabic,ZHAA,0.9,0.0
arctic_b0308,Arabic,ZHAA,1.0,0.0
arctic_a0414,Chinese,BWC,0.0,0.5
arctic_a0414,Chinese,BWC,0.25,0.5
arctic_a0414,Chinese,BWC,0.5,0.3333333333333333
arctic_a0414,Chinese,BWC,0.75,0.3333333333333333
arctic_a0414,Chinese,BWC,0.9,0.3333333333333333
arctic_a0414,Chinese,BWC,1.0,0.3333333333333333
arctic_a0414,Spanish,EBVS,0.0,0.5
arctic_a0414,Spanish,EBVS,0.25,0.3333333333333333
arctic_a0414,Spanish,EBVS,0.5,0.3333333333333333
arctic_a0414,Spanish,EBVS,0.75,0.3333333333333333
arctic_a0414,Spanish,EBVS,0.9,0.3333333333333333
arctic_a0414,Spanish,EBVS,1.0,0.3333333333333333
arctic_a0414,Korean,HJK,0.0,0.3333333333333333
arctic_a0414,Korean,HJK,0.25,0.3333333333333333
arctic_a0414,Korean,HJK,0.5,0.3333333333333333
arctic_a0414,Korean,HJK,0.75,0.3333333333333333
arctic_a0414,Korean,HJK,0.9,0.3333333333333333
arctic_a0414,Korean,HJK,1.0,0.3333333333333333
arctic_a0414,Vietnamese,HQTV,0.0,0.3333333333333333
arctic_a0414,Vietnamese,HQTV,0.25,0.3333333333333333
arctic_a0414,Vietnamese,HQTV,0.5,0.3333333333333333
arctic_a0414,Vietnamese,HQTV,0.75,0.3333333333333333
arctic_a0414,Vietnamese,HQTV,0.9,0.3333333333333333
arctic_a0414,Vietnamese,HQTV,1.0,0.3333333333333333
arctic_a0414,Hindi,SVBI,0.0,0.3333333333333333
arctic_a0414,Hindi,SVBI,0.25,0.3333333333333333
arctic_a0414,Hindi,SVBI,0.5,0.3333333333333333
arctic_a0414,Hindi,SVBI,0.75,0.3333333333333333
arctic_a0414,Hindi,SVBI,0.9,0.3333333333333333
arctic_a0414,Hindi,SVBI,1.0,0.3333333333333333
arctic_a0414,Arabic,ZHAA,0.0,0.3333333333333333
arctic_a0414,Arabic,ZHAA,0.25,0.3333333333333333
arctic_a0414,Arabic,ZHAA,0.5,0.3333333333333333
arctic_a0414,Arabic,ZHAA,0.75,0.3333333333333333
arctic_a0414,Arabic,ZHAA,0.9,0.3333333333333333
arctic_a0414,Arabic,ZHAA,1.0,0.3333333333333333
arctic_a0468,Chinese,BWC,0.0,0.3
arctic_a0468,Chinese,BWC,0.25,0.1
arctic_a0468,Chinese,BWC,0.5,0.1
arctic_a0468,Chinese,BWC,0.75,0.0
arctic_a0468,Chinese,BWC,0.9,0.0
arctic_a0468,Chinese,BWC,1.0,0.0
arctic_a0468,Spanish,EBVS,0.0,0.4
arctic_a0468,Spanish,EBVS,0.25,0.2
arctic_a0468,Spanish,EBVS,0.5,0.0
arctic_a0468,Spanish,EBVS,0.75,0.0
arctic_a0468,Spanish,EBVS,0.9,0.0
arctic_a0468,Spanish,EBVS,1.0,0.0
arctic_a0468,Korean,HJK,0.0,0.0
arctic_a0468,Korean,HJK,0.25,0.0
arctic_a0468,Korean,HJK,0.5,0.0
arctic_a0468,Korean,HJK,0.75,0.0
arctic_a0468,Korean,HJK,0.9,0.0
arctic_a0468,Korean,HJK,1.0,0.0
arctic_a0468,Vietnamese,HQTV,0.0,0.5
arctic_a0468,Vietnamese,HQTV,0.25,0.0
arctic_a0468,Vietnamese,HQTV,0.5,0.0
arctic_a0468,Vietnamese,HQTV,0.75,0.0
arctic_a0468,Vietnamese,HQTV,0.9,0.0
arctic_a0468,Vietnamese,HQTV,1.0,0.0
arctic_a0468,Hindi,SVBI,0.0,0.0
arctic_a0468,Hindi,SVBI,0.25,0.0
arctic_a0468,Hindi,SVBI,0.5,0.0
arctic_a0468,Hindi,SVBI,0.75,0.0
arctic_a0468,Hindi,SVBI,0.9,0.0
arctic_a0468,Hindi,SVBI,1.0,0.0
arctic_a0468,Arabic,ZHAA,0.0,0.3
arctic_a0468,Arabic,ZHAA,0.25,0.1
arctic_a0468,Arabic,ZHAA,0.5,0.1
arctic_a0468,Arabic,ZHAA,0.75,0.0
arctic_a0468,Arabic,ZHAA,0.9,0.0
arctic_a0468,Arabic,ZHAA,1.0,0.0
arctic_b0155,Chinese,BWC,0.0,0.2222222222222222
arctic_b0155,Chinese,BWC,0.25,0.1111111111111111
arctic_b0155,Chinese,BWC,0.5,0.0
arctic_b0155,Chinese,BWC,0.75,0.0
arctic_b0155,Chinese,BWC,0.9,0.0
arctic_b0155,Chinese,BWC,1.0,0.0
arctic_b0155,Spanish,EBVS,0.0,0.4444444444444444
arctic_b0155,Spanish,EBVS,0.25,0.4444444444444444
arctic_b0155,Spanish,EBVS,0.5,24.444444444444443
arctic_b0155,Spanish,EBVS,0.75,0.1111111111111111
arctic_b0155,Spanish,EBVS,0.9,0.0
arctic_b0155,Spanish,EBVS,1.0,0.0
arctic_b0155,Korean,HJK,0.0,0.0
arctic_b0155,Korean,HJK,0.25,0.0
arctic_b0155,Korean,HJK,0.5,0.0
arctic_b0155,Korean,HJK,0.75,0.0
arctic_b0155,Korean,HJK,0.9,0.0
arctic_b0155,Korean,HJK,1.0,0.0
arctic_b0155,Vietnamese,HQTV,0.0,0.2222222222222222
arctic_b0155,Vietnamese,HQTV,0.25,0.2222222222222222
arctic_b0155,Vietnamese,HQTV,0.5,0.1111111111111111
arctic_b0155,Vietnamese,HQTV,0.75,0.2222222222222222
arctic_b0155,Vietnamese,HQTV,0.9,0.0
arctic_b0155,Vietnamese,HQTV,1.0,0.0
arctic_b0155,Hindi,SVBI,0.0,0.3333333333333333
arctic_b0155,Hindi,SVBI,0.25,0.0
arctic_b0155,Hindi,SVBI,0.5,0.0
arctic_b0155,Hindi,SVBI,0.75,0.0
arctic_b0155,Hindi,SVBI,0.9,0.0
arctic_b0155,Hindi,SVBI,1.0,0.0
arctic_b0155,Arabic,ZHAA,0.0,0.3333333333333333
arctic_b0155,Arabic,ZHAA,0.25,0.0
arctic_b0155,Arabic,ZHAA,0.5,0.1111111111111111
arctic_b0155,Arabic,ZHAA,0.75,0.0
arctic_b0155,Arabic,ZHAA,0.9,0.0
arctic_b0155,Arabic,ZHAA,1.0,0.0
arctic_a0110,Chinese,BWC,0.0,0.6
arctic_a0110,Chinese,BWC,0.25,0.4
arctic_a0110,Chinese,BWC,0.5,0.2
arctic_a0110,Chinese,BWC,0.75,0.4
arctic_a0110,Chinese,BWC,0.9,0.4
arctic_a0110,Chinese,BWC,1.0,0.4
arctic_a0110,Spanish,EBVS,0.0,0.6
arctic_a0110,Spanish,EBVS,0.25,0.2
arctic_a0110,Spanish,EBVS,0.5,0.4
arctic_a0110,Spanish,EBVS,0.75,0.4
arctic_a0110,Spanish,EBVS,0.9,0.4
arctic_a0110,Spanish,EBVS,1.0,0.4
arctic_a0110,Korean,HJK,0.0,0.6
arctic_a0110,Korean,HJK,0.25,0.4
arctic_a0110,Korean,HJK,0.5,0.4
arctic_a0110,Korean,HJK,0.75,0.4
arctic_a0110,Korean,HJK,0.9,0.4
arctic_a0110,Korean,HJK,1.0,0.4
arctic_a0110,Vietnamese,HQTV,0.0,0.8
arctic_a0110,Vietnamese,HQTV,0.25,0.6
arctic_a0110,Vietnamese,HQTV,0.5,0.6
arctic_a0110,Vietnamese,HQTV,0.75,0.4
arctic_a0110,Vietnamese,HQTV,0.9,0.4
arctic_a0110,Vietnamese,HQTV,1.0,0.4
arctic_a0110,Hindi,SVBI,0.0,0.4
arctic_a0110,Hindi,SVBI,0.25,0.4
arctic_a0110,Hindi,SVBI,0.5,0.4
arctic_a0110,Hindi,SVBI,0.75,0.4
arctic_a0110,Hindi,SVBI,0.9,0.4
arctic_a0110,Hindi,SVBI,1.0,0.4
arctic_a0110,Arabic,ZHAA,0.0,0.6
arctic_a0110,Arabic,ZHAA,0.25,0.4
arctic_a0110,Arabic,ZHAA,0.5,0.4
arctic_a0110,Arabic,ZHAA,0.75,0.2
arctic_a0110,Arabic,ZHAA,0.9,0.4
arctic_a0110,Arabic,ZHAA,1.0,0.4
arctic_a0524,Chinese,BWC,0.0,0.6
arctic_a0524,Chinese,BWC,0.25,0.3
arctic_a0524,Chinese,BWC,0.5,0.2
arctic_a0524,Chinese,BWC,0.75,0.0
arctic_a0524,Chinese,BWC,0.9,0.0
arctic_a0524,Chinese,BWC,1.0,0.0
arctic_a0524,Spanish,EBVS,0.0,0.8
arctic_a0524,Spanish,EBVS,0.25,0.3
arctic_a0524,Spanish,EBVS,0.5,0.0
arctic_a0524,Spanish,EBVS,0.75,0.0
arctic_a0524,Spanish,EBVS,0.9,0.0
arctic_a0524,Spanish,EBVS,1.0,0.0
arctic_a0524,Korean,HJK,0.0,0.2
arctic_a0524,Korean,HJK,0.25,0.0
arctic_a0524,Korean,HJK,0.5,0.0
arctic_a0524,Korean,HJK,0.75,0.0
arctic_a0524,Korean,HJK,0.9,0.0
arctic_a0524,Korean,HJK,1.0,0.0
arctic_a0524,Vietnamese,HQTV,0.0,0.2
arctic_a0524,Vietnamese,HQTV,0.25,0.0
arctic_a0524,Vietnamese,HQTV,0.5,0.4
arctic_a0524,Vietnamese,HQTV,0.75,0.0
arctic_a0524,Vietnamese,HQTV,0.9,0.0
arctic_a0524,Vietnamese,HQTV,1.0,0.0
arctic_a0524,Hindi,SVBI,0.0,0.0
arctic_a0524,Hindi,SVBI,0.25,0.0
arctic_a0524,Hindi,SVBI,0.5,0.0
arctic_a0524,Hindi,SVBI,0.75,0.0
arctic_a0524,Hindi,SVBI,0.9,0.0
arctic_a0524,Hindi,SVBI,1.0,0.0
arctic_a0524,Arabic,ZHAA,0.0,0.1
arctic_a0524,Arabic,ZHAA,0.25,0.0
arctic_a0524,Arabic,ZHAA,0.5,0.0
arctic_a0524,Arabic,ZHAA,0.75,0.0
arctic_a0524,Arabic,ZHAA,0.9,0.0
arctic_a0524,Arabic,ZHAA,1.0,0.0
arctic_a0057,Chinese,BWC,0.0,0.16666666666666666
arctic_a0057,Chinese,BWC,0.25,0.16666666666666666
arctic_a0057,Chinese,BWC,0.5,0.0
arctic_a0057,Chinese,BWC,0.75,0.0
arctic_a0057,Chinese,BWC,0.9,0.0
arctic_a0057,Chinese,BWC,1.0,0.0
arctic_a0057,Spanish,EBVS,0.0,0.0
arctic_a0057,Spanish,EBVS,0.25,0.0
arctic_a0057,Spanish,EBVS,0.5,0.0
arctic_a0057,Spanish,EBVS,0.75,0.0
arctic_a0057,Spanish,EBVS,0.9,0.0
arctic_a0057,Spanish,EBVS,1.0,0.0
arctic_a0057,Korean,HJK,0.0,0.0
arctic_a0057,Korean,HJK,0.25,0.0
arctic_a0057,Korean,HJK,0.5,0.0
arctic_a0057,Korean,HJK,0.75,0.0
arctic_a0057,Korean,HJK,0.9,0.0
arctic_a0057,Korean,HJK,1.0,0.0
