prompt_id,L1,speaker,condition,ref,hyp,wer
arctic_a0037,Arabic,ZHAA,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+noise,I was the only one who remained sitting., I was I was,0.75
arctic_a0037,Arabic,ZHAA,l2+l2,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+l2_diff_utt,I was the only one who remained sitting., I was the only one who remains sitting.,0.125
arctic_a0037,Arabic,ZHAA,l2+nat_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+interp,I was the only one who remained sitting., I was the only one who remains sitting.,0.125
arctic_a0037,Arabic,ZHAA,l2+noise,I was the only one who remained sitting., I was,0.75
arctic_a0037,Arabic,ZHAA,nat+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+zero_800,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+zero_800,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,nat+empty_pad,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Arabic,ZHAA,l2+empty_pad,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,nat+noise,I was the only one who remained sitting., I was I was,0.75
arctic_a0037,Chinese,BWC,l2+l2,I was the only one who remained sitting., I was the only one who reminded sitting.,0.125
arctic_a0037,Chinese,BWC,l2+l2_diff_utt,I was the only one who remained sitting., I was the only one who reminded seating.,0.25
arctic_a0037,Chinese,BWC,l2+nat_same,I was the only one who remained sitting., I was the only one who reminded seating.,0.25
arctic_a0037,Chinese,BWC,l2+interp,I was the only one who remained sitting., I was the only one who reminded seating.,0.25
arctic_a0037,Chinese,BWC,l2+noise,I was the only one who remained sitting., I was,0.75
arctic_a0037,Chinese,BWC,nat+zero_0,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,l2+zero_0,I was the only one who remained sitting., I was the only one who reminded sitting,0.125
arctic_a0037,Chinese,BWC,nat+zero_100,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,l2+zero_100,I was the only one who remained sitting., I was the only one who reminded sitting.,0.125
arctic_a0037,Chinese,BWC,nat+zero_200,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,l2+zero_200,I was the only one who remained sitting., I was the only one who reminded sitting.,0.125
arctic_a0037,Chinese,BWC,nat+zero_400,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,l2+zero_400,I was the only one who remained sitting., I was the only one who reminded sitting.,0.125
arctic_a0037,Chinese,BWC,nat+zero_800,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,l2+zero_800,I was the only one who remained sitting., I was the only one who reminded sitting.,0.125
arctic_a0037,Chinese,BWC,nat+empty_pad,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Chinese,BWC,l2+empty_pad,I was the only one who remained sitting., I was the only one who reminded seating.,0.25
arctic_a0037,Hindi,SVBI,nat+nat,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+nat_diff_utt,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+l2_same,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+interp,I was the only one who remained sitting., I was the only one who remained sitting.,0.0
arctic_a0037,Hindi,SVBI,nat+noise,I was the only one who remained sitting., I was I was,0.75
